,edad,m_moroso,ciudad_agg,niv_educ_dummy,gender_M,e_civil_CAS,e_civil_VIU,seguro_SI,LN_d_marzo,LN_d_junio,LN_d_julio,LN_d_agosto,LN_d_septiembre,LN_monto,fuga_dummy
14,39,0,3.0,0,0,0,1,0,0.0,11.458849354771557,0.0,0.0,0.0,15.009433329466965,0
15,40,1,3.0,0,1,1,0,0,0.0,0.0,5.204006687076795,0.0,0.0,14.45736497045232,1
16,45,3,3.0,1,1,1,0,1,0.0,13.129750028798187,5.7899601708972535,0.0,8.698681067461614,15.201805169084134,1
17,43,2,3.0,1,1,1,0,0,0.0,0.0,4.997212273764115,0.0,0.0,15.319588176962746,1
18,54,1,3.0,1,1,1,0,0,0.0,7.9391588179567965,4.787491742782046,0.0,4.9344739331306915,15.38412668421143,1
19,41,1,3.0,0,0,0,0,1,0.0,11.320662657281883,6.075346031088684,0.0,3.9318256327243257,14.403297778421795,0
20,54,1,3.0,0,0,0,0,1,0.0,0.0,6.373319789577012,0.0,0.0,13.45883704259595,0
21,47,1,1.0,0,0,1,0,0,0.0,0.0,2.302585092994046,0.0,0.0,14.690979711984754,1
22,51,1,3.0,0,1,1,0,0,12.451678030413476,10.999128765259284,6.9363427358340495,9.246382963323112,9.120306249272202,13.910821646859095,1
23,29,1,2.0,0,1,1,0,0,0.0,0.0,1.0986122886681098,0.0,0.0,14.603968372873895,1
24,49,1,4.0,0,0,1,0,0,0.0,0.0,3.044522437723423,0.0,5.932245187448011,13.910821646859095,0
25,29,1,4.0,0,0,1,0,0,12.86813413374495,0.0,5.934894195619588,0.0,0.0,13.815511557963774,0
26,46,0,3.0,0,1,0,1,0,0.0,12.150115862383977,0.0,0.0,5.1647859739235145,15.894952224644102,0
27,52,1,3.0,1,1,1,0,1,0.0,0.0,0.0,0.0,8.501470230951002,14.603968372873895,1
28,43,1,3.0,1,1,1,0,0,0.0,0.0,0.0,0.0,3.091042453358316,15.250595321348806,1
29,39,3,4.0,0,0,0,0,1,0.0,12.389980443578,3.7376696182833684,7.891330757661889,5.950642552587727,15.894952224644102,0
30,37,0,3.0,0,1,1,0,0,0.0,0.0,0.0,9.774630930411124,0.0,15.894952224644102,0
31,41,2,1.0,1,1,0,0,0,12.55990054046838,12.29256680545278,6.2166061010848646,7.221105098182496,6.220590170099739,15.068273812173887,1
32,27,1,4.0,0,0,1,0,0,12.341171558951789,0.0,1.9459101490553132,0.0,0.0,15.123843647884687,0
33,44,3,3.0,0,1,1,0,1,13.34329007330935,0.0,8.07153089355666,0.0,10.955305184684386,15.341567078850604,1
34,46,1,3.0,0,1,1,0,1,0.0,0.0,3.871201010907891,0.0,0.0,14.346139397261565,1
35,52,1,3.0,1,1,1,0,0,0.0,0.0,5.749392985908253,0.0,0.0,14.603968372873895,1
36,46,1,3.0,0,0,1,0,0,0.0,11.982979092966005,4.672828834461906,0.0,3.1780538303479458,14.508658238524095,1
37,44,2,3.0,1,1,1,0,0,12.173792192956128,0.0,6.729824070489475,0.0,0.0,14.914123179965662,1
38,46,1,3.0,1,1,1,0,1,0.0,12.31155815337615,3.367295829986474,8.09009578318096,5.25227342804663,15.501909696719672,1
39,51,2,4.0,0,0,1,0,0,0.0,4.382026634673881,7.732807530422021,8.74973246437081,0.0,13.592368256649284,0
40,27,0,3.0,1,0,1,0,0,0.0,10.494685060560329,0.0,0.0,1.0986122886681098,15.201805169084134,0
41,28,2,3.0,0,1,0,0,0,0.0,0.0,4.68213122712422,0.0,0.0,14.151983508870947,1
42,40,1,3.0,1,1,1,0,0,0.0,0.0,0.0,3.044522437723423,5.517452896464707,14.45736497045232,1
43,49,1,1.0,1,0,1,0,0,12.807233366602745,11.265642897802692,6.796823718274855,0.0,4.418840607796598,13.710151153416941,1
44,49,1,1.0,1,1,1,0,1,0.0,11.507380117914598,0.0,0.0,2.3978952727983707,15.039286283703994,1
45,54,1,2.0,0,1,0,0,0,0.0,11.880972500857887,0.0,7.740229524763182,5.337538079701318,14.508658238524095,1
46,38,1,4.0,1,0,1,0,0,0.0,0.0,3.58351893845611,0.0,0.0,15.894952224644102,0
47,47,2,3.0,1,1,1,0,0,0.0,0.0,4.663439094112067,0.0,0.0,15.039286283703994,1
48,45,2,3.0,1,1,1,0,1,0.0,12.600641942626304,6.548219102762372,3.58351893845611,4.976733742420574,14.077875591662238,1
49,55,1,3.0,0,1,1,0,0,0.0,7.639161171659173,5.855071922202427,0.0,6.030685260261263,15.555976908243359,1
50,46,1,3.0,1,1,1,0,0,13.378006644948552,0.0,5.8888779583328805,0.0,0.0,15.226497775576945,1
51,40,3,3.0,0,1,1,0,0,13.035466902904064,12.82563786941215,7.491087593534876,0.0,6.51025834052315,14.45736497045232,0
52,53,0,3.0,0,0,0,0,1,0.0,0.0,0.0,0.0,3.912023005428146,15.894952224644102,0
53,26,1,1.0,0,0,0,1,0,0.0,10.626654594082241,0.6931471805599453,0.0,0.0,14.285514812209815,0
54,55,1,3.0,0,1,1,0,0,11.86959240887696,9.988701481750608,6.910750787961936,0.0,0.0,15.009433329466965,1
55,44,1,1.0,1,1,1,0,1,13.043943352468755,13.599542451461632,6.610696044717759,0.0,6.175867270105761,14.151983508870947,1
56,29,0,4.0,0,1,0,0,0,0.0,11.286376120521187,0.0,0.0,5.0689042022202315,14.346139397261565,0
57,49,2,3.0,0,1,0,0,0,0.0,15.44272728646355,7.903965634032166,9.442324727955874,7.601402334583733,15.894952224644102,1
58,52,1,4.0,0,0,0,0,1,0.0,0.0,5.1647859739235145,0.0,5.631211781821365,14.403297778421795,0
59,46,2,3.0,1,1,1,0,0,0.0,13.493903485286035,1.3862943611198906,0.0,0.0,15.341567078850604,1
60,44,1,3.0,1,1,1,0,0,0.0,0.0,0.0,0.0,2.0794415416798357,15.250595321348806,1
61,43,1,3.0,1,1,1,0,0,0.0,10.727860344448946,4.882801922586371,10.365616507761834,5.717027701406222,15.424948670398354,1
62,50,1,3.0,1,1,1,0,0,0.0,12.629439883321995,3.7612001156935624,0.0,0.0,15.789591722875162,1
63,35,1,3.0,0,0,1,0,0,0.0,11.45042220461694,3.4339872044851463,8.075271546297458,5.337538079701318,14.690979711984754,0
64,26,1,3.0,1,1,0,0,0,0.0,11.850775323662825,5.953243334287785,0.0,5.6131281063880705,13.304686600863562,0
65,40,2,1.0,1,1,0,0,0,14.163659357414819,13.291219683244712,8.315321775377567,0.0,6.728628613084702,15.747032114495013,1
66,40,2,3.0,1,1,0,0,0,14.2313265767488,10.239852640559992,8.457018468380168,9.784197131344804,4.204692619390966,15.29711532616119,1
67,44,1,3.0,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,14.557448378884015,1
68,40,2,3.0,1,1,1,0,1,0.0,11.967567963853227,4.795790545596741,0.0,6.428105272684596,14.077875591662238,1
69,37,1,4.0,0,0,0,0,0,0.0,0.0,4.454347296253507,7.751475318021456,0.0,14.346139397261565,0
70,47,1,1.0,0,1,1,0,1,0.0,0.0,0.0,0.0,9.606764735432199,14.603968372873895,1
71,57,1,3.0,1,0,1,0,0,0.0,0.0,5.41610040220442,0.0,0.6931471805599453,14.978661680269907,0
72,45,1,3.0,1,1,1,0,0,0.0,0.0,6.073044534100405,0.0,0.0,14.346139397261565,1
73,44,2,3.0,0,1,1,0,0,0.0,11.271159589527924,5.796057750765372,6.1779441140506,5.634789603169249,14.978661680269907,1
74,44,2,3.0,1,1,1,0,0,12.391260922685339,0.0,6.763884908562435,8.454040376410969,0.0,13.710151153416941,0
75,44,0,3.0,0,1,0,0,0,0.0,11.02183710688727,0.0,6.4425401664681985,0.0,14.690979711984754,0
76,44,2,3.0,1,1,1,0,0,12.309662093773575,8.449770515098804,6.665683717782408,0.0,0.0,13.710151153416941,1
77,28,1,3.0,0,1,0,0,0,0.0,9.274722630905451,5.056245805348308,0.0,0.6931471805599453,14.403297778421795,1
78,42,1,3.0,1,1,1,0,0,0.0,0.0,1.9459101490553132,0.0,4.219507705176107,15.894952224644102,0
79,60,0,3.0,0,1,1,0,0,0.0,11.375626985776462,0.0,0.0,4.330733340286331,15.123843647884687,0
80,30,1,3.0,0,1,0,0,0,0.0,12.65954030613581,7.05617528410041,0.0,4.219507705176107,15.894952224644102,0
81,37,0,3.0,0,0,0,0,0,0.0,0.0,0.0,10.095924443071176,0.0,15.176487367510099,0
82,29,1,3.0,0,0,0,0,1,0.0,9.880270101359944,5.241747015059643,0.0,2.995732273553991,14.45736497045232,0
83,28,1,4.0,0,1,0,0,0,0.0,0.0,1.791759469228055,9.564652526725727,4.04305126783455,14.45736497045232,0
84,32,0,3.0,0,1,0,0,0,0.0,11.590488176918019,0.0,0.0,10.992453464152433,15.894952224644102,0
85,44,2,3.0,0,1,1,0,0,13.021149806827033,0.0,6.920671504248683,8.453401058328458,0.0,13.217675375388819,1
86,53,2,3.0,0,1,1,0,0,0.0,0.0,6.579251212010101,7.878912912297133,4.844187086458591,15.894952224644102,0
87,47,2,4.0,0,0,1,0,0,0.0,6.263398262591624,4.727387818712341,0.0,7.798523053625206,15.894952224644102,0
88,43,3,3.0,1,1,1,0,0,0.0,12.87181779634178,8.097426298597213,0.0,6.842683282238422,14.77102238760702,1
89,57,1,3.0,0,0,1,0,0,0.0,10.024288252681833,4.6913478822291435,0.0,2.0794415416798357,14.690979711984754,0
90,36,1,4.0,0,0,0,0,1,14.138326397602285,0.0,7.659171367666058,8.798152718107191,5.942799375126701,13.910821646859095,0
91,41,1,3.0,0,1,1,0,1,0.0,13.226514361874136,0.0,0.0,8.595819511871428,15.789591722875162,1
92,46,1,1.0,1,0,1,0,1,0.0,0.0,5.802118375377063,5.950642552587727,0.0,15.623799493077952,1
93,55,1,3.0,1,0,0,0,0,0.0,11.964886042957495,4.875197323201151,0.0,0.0,14.603968372873895,1
94,27,1,3.0,0,0,1,0,0,0.0,0.0,1.3862943611198906,0.0,0.0,15.38412668421143,0
95,45,1,3.0,0,1,1,0,1,0.0,0.0,4.709530201312334,0.0,0.0,14.45736497045232,1
96,46,1,3.0,1,1,1,0,0,0.0,0.0,2.772588722239781,0.0,0.0,14.403297778421795,1
97,52,2,3.0,1,1,0,0,0,14.012181172851685,4.820281565605037,7.409741954080923,10.54770705947265,7.6708948313621175,15.894952224644102,1
98,39,1,3.0,0,0,0,0,1,0.0,0.0,5.062595033026967,0.0,0.0,14.151983508870947,0
99,55,1,3.0,0,1,1,0,0,0.0,0.0,5.659482215759621,10.389487554866463,8.927314111060596,15.009433329466965,1
100,62,1,4.0,0,0,0,0,1,12.57671853966006,0.0,6.78105762593618,0.0,0.0,13.45883704259595,0
101,45,2,3.0,1,1,1,0,0,0.0,6.018593214496234,6.082218910376446,0.0,6.9726062513017535,14.946912992035967,1
102,42,2,3.0,1,1,1,0,0,0.0,13.580150184244307,6.19644412779452,0.0,2.0794415416798357,15.894952224644102,1
103,30,1,3.0,1,0,1,0,0,0.0,0.0,3.58351893845611,0.0,0.0,14.731801689838349,0
104,47,1,4.0,0,0,0,0,1,0.0,0.0,5.342334251964811,0.0,7.423568444259167,15.894952224644102,0
105,46,1,3.0,0,1,1,0,1,0.0,13.57780397864793,6.525029657843462,0.0,6.720220155135295,15.009433329466965,1
106,33,1,3.0,0,1,0,0,0,0.0,0.0,3.912023005428146,0.0,5.662960480135946,13.710151153416941,0
107,52,2,2.0,1,1,0,0,0,0.0,13.264579696635266,7.373374309910049,0.0,6.2285110035911835,13.592368256649284,1
108,46,1,1.0,1,0,0,0,0,0.0,11.903026480895422,0.0,0.0,9.558882332684727,15.176487367510099,1
109,53,1,2.0,0,1,1,0,0,0.0,13.906330672495734,2.302585092994046,0.0,3.5263605246161616,15.803385043104912,0
110,31,0,4.0,0,1,1,0,0,0.0,12.657485787541045,0.0,0.0,5.384495062789089,15.068273812173887,0
111,52,2,3.0,0,0,1,0,0,12.490029036240896,11.94334331443397,6.760414691083428,0.0,4.6443908991413725,13.710151153416941,0
112,40,2,1.0,1,1,1,0,0,0.0,12.178896702024423,6.664409020350408,0.0,1.9459101490553132,14.77102238760702,1
113,49,1,3.0,1,0,1,0,0,0.0,11.613612074928163,4.700480365792417,10.198802917143304,0.6931471805599453,15.319588176962746,1
114,44,2,3.0,1,1,1,0,0,0.0,13.539504059949993,4.477336814478207,0.0,6.682108597449809,14.978661680269907,1
115,45,2,3.0,0,0,0,0,0,0.0,0.0,6.476972362889683,7.917171988845776,0.0,15.38412668421143,0
116,53,1,3.0,0,0,0,0,1,0.0,0.0,2.0794415416798357,0.0,0.0,15.894952224644102,0
117,54,1,3.0,1,1,1,0,1,13.301466427022902,12.826517404149278,6.663132695990803,0.0,4.634728988229636,14.285514812209815,1
118,40,1,4.0,0,1,1,0,1,11.480619191884884,12.588889882471992,4.812184355372417,0.0,5.44673737166631,14.648420115681892,0
119,41,1,3.0,0,1,1,0,1,0.0,0.0,0.0,0.0,1.6094379124341003,14.508658238524095,1
120,50,1,3.0,0,1,0,1,0,0.0,11.775174338165018,5.53338948872752,0.0,4.700480365792417,15.29711532616119,1
121,44,1,3.0,1,1,1,0,0,0.0,13.617065716782822,0.0,0.0,7.158513997329321,15.501909696719672,1
122,39,1,3.0,1,1,1,0,0,0.0,12.536300426054058,4.976733742420574,0.0,4.430816798843313,14.220976332738882,0
123,41,2,3.0,1,1,1,0,0,0.0,0.0,2.772588722239781,0.0,0.0,15.176487367510099,0
124,40,2,4.0,0,1,1,0,0,13.615808837338783,12.729409674233228,6.660575149839686,8.469891918298224,0.0,13.45883704259595,0
125,30,1,3.0,0,1,0,0,0,0.0,9.914823062199874,4.543294782270004,7.2682230211595655,3.9889840465642745,14.151983508870947,0
126,50,1,4.0,0,0,0,0,1,0.0,8.550241045462437,3.8918202981106265,10.488743239436115,0.0,15.894952224644102,0
127,39,1,4.0,0,1,1,0,0,0.0,11.494028027865765,4.477336814478207,0.0,5.298317366548036,15.444751293772967,0
128,45,1,3.0,0,0,1,0,0,11.29473214103806,0.0,7.261225091971921,0.0,0.0,13.45883704259595,0
129,48,2,3.0,1,1,0,0,0,0.0,10.93942624667618,4.31748811353631,4.68213122712422,3.6635616461296463,15.096444681204078,1
130,30,1,4.0,0,0,0,0,0,0.0,0.0,4.77912349311153,0.0,0.0,15.520258832020865,0
131,34,1,4.0,0,0,0,0,0,11.17420269780386,13.012985915721902,7.738052297689316,0.0,9.961803629358965,13.304686600863562,0
132,52,1,1.0,0,1,1,0,0,0.0,0.0,6.054439346269371,0.0,0.0,14.603968372873895,1
133,44,1,3.0,1,1,1,0,0,0.0,0.0,0.0,0.0,7.952615111651,15.039286283703994,1
134,56,1,4.0,0,0,0,0,1,12.181631376350401,0.0,4.174387269895637,10.646876224532782,0.0,15.882373444019521,0
135,50,1,1.0,0,0,1,0,1,0.0,0.0,2.1972245773362196,0.0,0.0,14.845130332288226,1
136,34,1,3.0,0,0,1,0,0,0.0,0.0,4.890349128221754,0.0,0.0,15.250595321348806,0
137,40,2,3.0,1,1,1,0,0,0.0,11.561115449067628,6.61338421837956,0.0,2.5649493574615367,14.346139397261565,1
138,47,1,1.0,1,1,1,0,0,0.0,11.742178316448616,0.0,0.0,0.6931471805599453,15.894952224644102,1
139,52,1,4.0,0,1,0,0,0,0.0,0.0,0.0,8.907883013942248,0.0,15.894952224644102,0
140,45,1,3.0,1,1,1,0,0,0.0,0.0,1.0986122886681098,0.0,0.0,14.603968372873895,1
141,33,1,3.0,1,1,1,0,0,0.0,0.0,0.6931471805599453,0.0,0.0,14.603968372873895,0
142,37,1,3.0,1,1,1,0,0,0.0,0.0,4.356708826689592,0.0,0.0,15.319588176962746,0
143,45,1,3.0,0,1,1,0,0,0.0,0.0,2.302585092994046,7.238496840894365,0.0,15.607270193858982,1
144,47,2,3.0,1,1,1,0,0,13.779168098661444,13.24691633423264,6.901737206656574,0.0,6.049733455231958,14.690979711984754,1
145,34,0,3.0,0,0,1,0,0,0.0,0.0,0.0,10.126791091051704,0.0,15.068273812173887,0
146,35,1,3.0,1,1,1,0,0,0.0,10.65405422396356,4.574710978503383,6.431331081933479,5.948034989180646,14.285514812209815,0
147,53,3,4.0,0,0,1,0,0,0.0,0.0,6.741700694652055,0.0,9.555559953069064,15.894952224644102,0
148,40,2,3.0,0,1,1,0,0,12.393572438752896,11.460378753805015,6.648984550024776,8.923324744067562,6.480044561926653,14.151983508870947,1
149,50,1,3.0,0,0,1,0,0,0.0,0.0,7.274479558773871,0.0,2.6390573296152584,14.45736497045232,0
150,64,2,4.0,1,1,1,0,0,0.0,11.459007676978688,8.400884069015854,0.0,0.6931471805599453,15.894952224644102,0
151,51,3,3.0,0,0,0,0,0,0.0,0.0,6.210600077024653,10.782574735412739,5.820082930352362,15.894952224644102,1
152,55,1,2.0,0,1,1,0,0,0.0,0.0,1.791759469228055,0.0,0.0,15.341567078850604,1
153,26,1,3.0,0,0,0,0,1,0.0,0.0,2.302585092994046,0.0,0.0,14.403297778421795,0
154,47,1,3.0,0,0,0,0,1,0.0,9.633121357849578,7.575071699507561,0.0,7.138866999945524,13.384729180332174,0
155,27,0,4.0,0,0,0,0,0,0.0,11.649866039723841,0.0,0.0,4.6913478822291435,14.346139397261565,0
156,33,1,2.0,1,0,1,0,0,0.0,10.073820870018016,4.189654742026425,0.0,0.0,15.363073279446223,1
157,53,1,3.0,1,0,1,0,0,0.0,12.67423708450188,0.0,0.0,3.784189633918261,15.424948670398354,1
158,48,1,4.0,1,1,1,0,0,0.0,12.601696150207463,3.828641396489095,0.0,6.4692503167957724,14.77102238760702,0
159,55,1,3.0,1,1,1,0,0,13.30166370822114,10.39546669175574,6.981934677156389,8.941807118363164,4.430816798843313,15.573368647930426,1
160,35,1,4.0,1,1,1,0,0,14.64791999085771,0.0,7.368970402194793,0.0,4.394449154672439,15.444751293772967,0
161,30,2,2.0,0,1,1,0,0,0.0,12.417127421147,5.123963979403259,0.0,4.330733340286331,14.346139397261565,1
162,41,0,3.0,0,0,1,0,0,0.0,0.0,0.0,0.0,2.3978952727983707,14.557448378884015,0
163,28,1,2.0,0,0,0,0,0,0.0,0.0,0.6931471805599453,7.2682230211595655,6.881411303642535,14.508658238524095,0
164,37,1,3.0,0,1,1,0,0,0.0,0.0,5.0369526024136295,0.0,0.0,15.319588176962746,0
165,50,0,3.0,0,0,0,0,1,0.0,0.0,0.0,10.52449405531839,0.0,15.894952224644102,0
166,42,1,3.0,0,1,1,0,0,13.640958341530453,14.086061985194217,6.883462586413092,6.859614903654202,10.212478470309156,15.894952224644102,0
167,40,1,1.0,1,1,0,0,0,0.0,0.0,6.208590026096629,0.0,6.09807428216624,14.946912992035967,1
168,48,0,3.0,0,0,1,0,0,0.0,12.739664148879243,0.0,0.0,5.968707559985366,14.80876270134486,0
169,32,1,3.0,0,0,1,0,0,9.996294602122335,0.0,6.198478716492308,8.817594036275793,0.0,14.45736497045232,0
170,53,1,2.0,1,1,0,0,0,0.0,11.464827061479197,5.147494476813453,0.0,5.921578419643816,15.068273812173887,1
171,42,1,1.0,0,1,1,0,0,0.0,0.0,0.0,0.0,7.935945103353701,14.845130332288226,1
172,31,1,2.0,0,0,0,1,0,0.0,0.0,5.811140992976701,0.0,3.9889840465642745,14.648420115681892,0
173,43,3,3.0,1,1,1,0,0,0.0,12.51944439431464,6.016157159698354,0.0,3.1780538303479458,14.077875591662238,1
174,47,2,3.0,1,1,1,0,0,0.0,11.832302406162803,5.5254529391317835,7.798523053625206,6.049733455231958,14.403297778421795,1
175,35,1,3.0,0,0,0,0,0,0.0,0.0,3.4657359027997265,0.0,0.0,14.508658238524095,0
176,51,2,4.0,0,1,1,0,0,0.0,4.770684624465665,7.641564441260972,8.172729104865471,0.0,13.592368256649284,0
177,49,1,3.0,1,1,1,0,0,0.0,0.0,4.59511985013459,0.0,0.0,14.648420115681892,0
178,50,3,1.0,0,1,1,0,0,0.0,0.0,7.932721027481948,0.0,4.77912349311153,14.77102238760702,1
179,44,2,3.0,1,0,0,0,0,0.0,11.322696728667161,5.8664680569332965,0.0,5.062595033026967,15.039286283703994,1
180,31,1,2.0,0,1,1,0,0,0.0,11.903554392543397,4.77912349311153,0.0,7.013915474810528,14.648420115681892,1
181,38,1,3.0,0,1,1,0,0,0.0,0.0,1.9459101490553132,0.0,0.0,15.830413711839864,0
182,46,1,3.0,0,1,1,0,0,13.717222749420298,13.287336991696762,9.32259705432185,0.0,6.0063531596017325,15.123843647884687,0
183,55,1,1.0,1,1,0,0,1,13.601854359058121,12.850047964083336,7.511524648390866,0.0,5.981414211254481,15.319588176962746,1
184,35,1,4.0,0,1,1,0,0,0.0,0.0,4.718498871295094,7.244941546337007,6.126869184114185,15.894952224644102,0
185,42,1,4.0,0,0,0,0,0,0.0,0.0,5.4680601411351315,8.648045999835,5.958424693029782,14.285514812209815,0
186,24,1,4.0,1,1,1,0,0,0.0,9.652330254766719,5.241747015059643,0.0,2.3978952727983707,14.285514812209815,0
187,36,1,3.0,0,0,0,1,0,0.0,0.0,5.288267030694535,0.0,0.0,15.894952224644102,0
188,25,1,3.0,1,0,1,0,1,0.0,0.0,3.8501476017100584,0.0,0.0,14.77102238760702,1
189,46,3,3.0,1,1,0,0,0,12.596190586024257,0.0,7.661527081358517,5.971261839790462,0.0,15.656060350091908,1
190,37,3,4.0,0,0,0,1,1,10.314603332153107,12.502422047923508,7.108244139731541,7.329093736246592,4.6913478822291435,13.384729180332174,0
191,52,2,3.0,1,1,1,0,0,0.0,8.795430805040018,7.087573705557973,0.0,0.0,13.815511557963774,1
192,49,1,3.0,0,0,1,0,0,0.0,11.532012149766217,5.170483995038151,0.0,0.0,14.45736497045232,1
193,38,1,4.0,0,0,0,0,0,14.307014514754126,0.0,7.383989457978509,8.959311617172437,0.0,15.894952224644102,0
194,48,3,3.0,1,1,1,0,0,0.0,0.0,6.049733455231958,0.0,0.0,14.077875591662238,1
195,45,2,3.0,1,0,1,0,0,0.0,0.0,5.521460917862246,0.0,9.221082468508085,15.687312888712007,1
196,42,2,3.0,1,1,1,0,0,12.770789685639976,15.29103757720119,5.6240175061873385,4.912654885736052,6.499787040655854,15.319588176962746,1
197,47,2,1.0,1,1,1,0,0,0.0,13.74176175207186,6.4425401664681985,10.646424397598588,8.16194579946869,15.732433317205148,1
198,40,1,1.0,1,1,1,0,0,0.0,0.0,4.477336814478207,0.0,0.0,14.508658238524095,1
199,36,0,3.0,0,1,1,0,0,0.0,12.48982199495424,0.0,0.0,9.206131527202128,15.46416937585933,0
200,46,2,1.0,1,1,1,0,0,13.476651675568437,11.370635830671807,7.373374309910049,8.203577736937952,7.170119543449628,15.607270193858982,1
201,42,1,3.0,1,1,1,0,0,0.0,9.520175249069098,5.087596335232384,0.0,5.484796933490655,14.603968372873895,1
202,45,2,3.0,1,0,1,0,0,0.0,0.0,1.3862943611198906,0.0,6.269096283706261,14.151983508870947,1
203,41,1,3.0,1,1,1,0,0,10.209795089111074,11.047598881275455,5.659482215759621,0.0,6.230481447578482,15.623799493077952,1
204,52,1,3.0,1,0,1,0,0,0.0,10.220085016401597,0.0,0.0,2.4849066497880004,14.220976332738882,1
205,35,1,4.0,0,0,0,1,0,0.0,0.0,2.0794415416798357,0.0,0.0,15.59046307836746,0
206,52,1,3.0,1,1,1,0,0,13.275827535915461,0.0,7.3310603052186325,0.0,7.156176637480615,14.285514812209815,1
207,54,1,2.0,0,1,1,0,0,0.0,0.0,0.0,0.0,1.0986122886681098,15.894952224644102,1
208,37,1,3.0,1,1,1,0,0,0.0,0.0,2.9444389791664403,0.0,0.0,14.285514812209815,0
209,50,3,1.0,1,1,0,0,0,14.591166326491335,13.84199278774629,7.99799931797973,0.0,6.3835066348840055,13.815511557963774,1
210,43,1,3.0,0,0,0,0,1,0.0,4.762173934797756,5.093750200806762,0.0,10.04037580459825,15.444751293772967,0
211,40,2,4.0,0,1,1,0,0,0.0,0.0,7.187657164114956,0.0,0.0,13.217675375388819,0
212,48,0,3.0,0,0,1,0,0,0.0,12.211229326965105,0.0,0.0,5.739792912179234,14.80876270134486,0
213,32,1,4.0,0,0,1,0,0,0.0,11.993634090732403,4.709530201312334,0.0,4.976733742420574,14.557448378884015,0
214,38,1,3.0,0,1,1,0,0,0.0,0.0,1.6094379124341003,6.688354713946762,4.762173934797756,14.45736497045232,0
215,42,1,3.0,1,1,1,0,0,13.912903113572902,0.0,7.728855823852543,10.528677039912846,0.0,15.150511887854474,1
216,47,1,3.0,1,1,0,0,0,0.0,10.996517622908005,0.0,8.40200678160712,0.6931471805599453,15.76142084987672,1
217,46,1,3.0,1,1,1,0,0,0.0,12.631376328000833,6.021023349349527,0.0,5.834810737062605,14.45736497045232,1
218,41,1,3.0,1,1,1,0,0,0.0,0.0,4.1588830833596715,7.60489448081162,0.0,15.894952224644102,1
219,48,1,3.0,0,1,0,0,1,0.0,13.066508114094772,5.749392985908253,0.0,6.214608098422191,15.068273812173887,1
220,43,3,3.0,0,1,1,0,0,0.0,11.77681932823556,6.18826412308259,0.0,4.174387269895637,14.403297778421795,1
221,44,1,4.0,0,0,0,0,1,0.0,0.0,0.6931471805599453,0.0,7.045776576879511,15.894952224644102,0
222,45,1,3.0,0,1,1,0,0,0.0,12.303385364368664,0.0,6.86484777797086,0.0,15.894952224644102,1
223,32,1,4.0,1,1,0,0,0,0.0,0.0,6.652863029353347,6.992096427415888,0.0,13.997832948091215,0
224,55,1,2.0,0,1,0,0,0,0.0,13.016055746707952,2.4849066497880004,0.0,4.0943445622221,15.096444681204078,1
225,36,1,1.0,0,1,0,0,1,0.0,13.64476494069851,5.117993812416755,0.0,2.8903717578961645,15.671808704579888,0
226,47,1,3.0,0,0,0,0,1,0.0,10.080922187756688,3.258096538021482,0.0,0.6931471805599453,15.363073279446223,0
227,49,1,1.0,1,1,0,0,0,0.0,11.378181909401532,3.9318256327243257,4.836281906951478,4.418840607796598,14.731801689838349,1
